carbonate_host,lithology_code,dist_faults,moho_depth,lab_depth,gravity,gravity_hgm,mag_rtp,mag_hgm,shape_index,label,x,y,row,col
0.0,5.0,24698.178,43.998016,196.863,-55.468502,0.015106929,193.52577,1.8347087e-06,0.33408242,0,260750.0,-2265250.0,2225,1173
0.0,5.0,4609.7725,49.293133,174.58873,245.3421,0.006980818,171.68808,1.934624e-06,0.06176064,0,-66250.0,-2245250.0,2185,519
0.0,5.0,28017.852,31.071724,162.57086,24.159582,0.0027550855,124.69998,2.526591e-06,0.36714116,0,-225750.0,-1469750.0,634,200
0.0,5.0,87927.52,40.69278,176.75114,91.39716,0.005573392,152.17656,2.7862638e-06,0.21078873,0,-77750.0,-2021750.0,1738,496
0.0,5.0,23926.973,45.655643,173.00351,97.75298,0.0015592861,148.27458,1.9577733e-06,0.48578724,0,378750.0,-1601750.0,898,1409
0.0,5.0,2549.5098,38.12208,193.84077,509.34253,0.0058887727,116.42024,6.905619e-06,0.868742,0,98250.0,-1261750.0,218,848
0.0,5.0,33049.207,44.612198,159.89516,36.356056,0.0073852073,149.5301,1.5981478e-06,0.5401353,0,482750.0,-1690750.0,1076,1617
0.0,5.0,1581.1388,46.399723,189.57385,-259.26547,0.04892971,119.56152,9.28471e-06,0.06085434,0,101250.0,-2350750.0,2396,854
0.0,5.0,10688.779,39.39635,189.32858,148.0932,0.0075057964,125.458336,1.8086059e-06,0.67387235,0,-91750.0,-1438750.0,572,468
0.0,5.0,0.0,45.14779,190.5133,-22.039515,0.009896408,134.55983,1.9356098e-06,0.18023945,0,386250.0,-2154250.0,2003,1424
0.0,5.0,1118.0339,41.620056,195.00487,-781.17944,0.003777213,117.43044,6.0425136e-06,-0.80626976,0,31750.0,-2802750.0,3300,715
0.0,5.0,10000.0,47.891144,194.92323,82.56869,0.0037251993,132.33092,7.180675e-06,0.14578524,0,190750.0,-2432750.0,2560,1033
0.0,4.0,15116.217,31.558023,194.15515,-194.61531,0.00263074,190.38231,3.6932688e-06,-0.46831644,0,288750.0,-2811250.0,3317,1229
0.0,7.0,1414.2136,46.09057,208.19548,-710.87177,0.001465967,147.98752,1.560053e-06,-0.7688133,0,159750.0,-2564750.0,2824,971
0.0,5.0,4031.129,42.77999,182.23227,75.75526,0.0036067234,207.91972,4.3259665e-06,0.4338926,0,286750.0,-1593250.0,881,1225
0.0,5.0,9192.388,41.29654,191.52237,52.97387,0.0020567533,74.00059,9.547974e-06,0.6186253,0,491750.0,-2466250.0,2627,1635
0.0,5.0,121944.66,41.47705,180.7955,-243.00568,0.00071997405,138.0867,1.8146063e-06,0.022774808,0,-30250.0,-2028250.0,1751,591
1.0,1.0,1118.0339,46.586205,205.92694,-296.3563,0.0115511725,143.06642,4.0237064e-06,-0.2749735,0,275250.0,-2555750.0,2806,1202
0.0,5.0,1581.1388,45.257954,176.83105,-444.52072,0.010163775,129.01659,1.4797931e-06,-0.13828038,0,-173750.0,-2364750.0,2424,304
0.0,5.0,1000.0,40.695656,191.69395,184.08823,0.005137932,109.356865,1.5740306e-06,0.8249245,0,76250.0,-1389750.0,474,804
1.0,1.0,707.1068,43.144035,173.59859,80.27495,0.020496452,97.81342,1.3476468e-06,0.3317796,0,-242250.0,-2334750.0,2364,167
0.0,5.0,1581.1388,48.9841,196.35872,-425.4377,0.015172925,163.79953,3.859753e-06,-0.28076902,0,-156250.0,-2812250.0,3319,339
0.0,7.0,2692.5825,50.65708,199.06155,-148.99529,0.011464357,84.39992,1.9330953e-06,0.25051522,0,335250.0,-2503250.0,2701,1322
0.0,4.0,42877.734,45.52538,194.22392,62.193733,0.008461517,153.51364,1.1682125e-06,0.17668606,0,218250.0,-1905750.0,1506,1088
0.0,5.0,52404.676,42.04169,187.36978,-10.923267,0.008902919,245.72018,4.8494494e-06,-0.0077155475,0,76250.0,-2009750.0,1714,804
