carbonate_host,lithology_code,dist_faults,moho_depth,lab_depth,gravity,gravity_hgm,mag_rtp,mag_hgm,shape_index,label,x,y
0.0,5.0,45467.02,39.789314,172.55228,-42.647114,0.0042863493,100.20413,9.617388e-07,0.334528,0,525750.0,-2680250.0
0.0,5.0,11101.802,40.694603,168.03275,50.011375,0.0026854367,150.6356,4.5610313e-06,0.37579292,0,-175750.0,-1840750.0
0.0,5.0,500.0,41.701946,184.01141,72.06853,0.0067632613,174.66881,3.4054658e-06,0.8176383,0,550250.0,-2525250.0
0.0,5.0,6800.7354,45.454647,183.46658,145.82294,0.005770416,129.32857,5.5947285e-06,-0.03182781,0,-6750.0,-2327750.0
0.0,5.0,78289.52,41.52934,181.93634,-201.9236,0.0011607768,148.31978,2.9463654e-06,0.027173555,0,2250.0,-1998250.0
0.0,5.0,48808.297,41.743046,184.34344,127.88677,0.0060861255,133.33884,4.237426e-06,0.20021237,0,560750.0,-2061250.0
0.0,4.0,51734.902,45.47443,202.48047,114.9642,0.0025096748,160.99422,1.2633488e-06,0.23745008,0,232250.0,-1916250.0
0.0,5.0,3535.534,33.26542,188.42278,363.28583,0.0065613543,124.062256,1.616751e-06,0.73232734,0,-97250.0,-1340750.0
0.0,5.0,21569.654,45.313778,224.33401,-3.2226887,0.0021672398,124.23079,4.926352e-06,0.39549428,0,376250.0,-1963250.0
0.0,5.0,2692.5825,46.118843,182.38701,148.71953,0.0046857,131.30515,4.8275665e-06,-0.021489015,0,-10250.0,-2320250.0
0.0,5.0,6800.7354,49.87221,172.36049,288.48712,0.015412163,153.58582,1.4032368e-06,0.1729138,0,-148250.0,-2290250.0
0.0,5.0,2000.0,41.40236,193.6961,-227.85934,0.012960327,167.98924,7.612979e-06,-0.70757717,0,-60250.0,-2496750.0
0.0,5.0,2236.0679,34.890896,173.66232,210.12234,0.012396235,136.23967,1.9847964e-06,0.29112542,0,-195750.0,-1538250.0
0.0,5.0,20180.436,40.400204,174.31717,-45.45457,0.004152817,155.27296,1.885455e-06,0.3067676,0,598250.0,-1840750.0
0.0,5.0,5830.9517,45.238155,179.17735,-500.84018,0.0014040214,130.08926,1.8240898e-06,-0.24715228,0,-129750.0,-2377750.0
0.0,5.0,3535.534,43.96793,195.30031,102.82833,0.025317213,225.72081,9.094209e-06,0.4730239,0,418750.0,-2467750.0
